ResourceName,StandardName,Definition,SourceURL
ContactListings,Listing,The listing for the ContactListings record.,https://dd.reso.org/DD2.0/ContactListings/Listing/
ContactListings,ListingId,"The well-known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",https://dd.reso.org/DD2.0/ContactListings/ListingId/
ContactListings,ListingKey,"The foreign key related to the Property Resource's unique identifier for this record from the immediate source. This is a string that can include a Uniform Resource Identifier (URI) or other forms. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",https://dd.reso.org/DD2.0/ContactListings/ListingKey/
ContactListings,ListingModificationTimestamp,The last time the listing was updated. This does not refer to the ContactListing record but rather changes to the referenced listing.,https://dd.reso.org/DD2.0/ContactListings/ListingModificationTimestamp/
ContactListings,ListingNotes,The notes input by the member and/or contact in reference to the given listing. This is a complex data type referencing the separate resource called ContactListingNotes.,https://dd.reso.org/DD2.0/ContactListings/ListingNotes/
ContactListings,ListingSentTimestamp,The date/time the listing was sent to the contact.,https://dd.reso.org/DD2.0/ContactListings/ListingSentTimestamp/
ContactListings,ListingViewedYN,"Indicates whether or not a listing has been viewed. If yes, the client has viewed the listing. This is typically when the client selects a detailed report rather than viewing a one-line or thumbnail display.",https://dd.reso.org/DD2.0/ContactListings/ListingViewedYN/
ContactListings,ModificationTimestamp,The date/time the ContactListing record was last modified.,https://dd.reso.org/DD2.0/ContactListings/ModificationTimestamp/
ContactListings,PortalLastVisitedTimestamp,The date/time the listing was last viewed by the contact.,https://dd.reso.org/DD2.0/ContactListings/PortalLastVisitedTimestamp/
ContactListings,ResourceName,The name of the resource where the listing record is located.,https://dd.reso.org/DD2.0/ContactListings/ResourceName/
Contacts,Anniversary,"The month, day and year of the contact's wedding anniversary.",https://dd.reso.org/DD2.0/Contacts/Anniversary/
Contacts,AssistantEmail,The email address of the contact's assistant.,https://dd.reso.org/DD2.0/Contacts/AssistantEmail/
Contacts,AssistantName,The name of the contact's assistant.,https://dd.reso.org/DD2.0/Contacts/AssistantName/
Contacts,AssistantPhone,The phone number of the contact's assistant.,https://dd.reso.org/DD2.0/Contacts/AssistantPhone/
Contacts,AssistantPhoneExt,The phone number extension of the contact's assistant.,https://dd.reso.org/DD2.0/Contacts/AssistantPhoneExt/
Contacts,Birthdate,"The month, day and year of the contact's birthday.",https://dd.reso.org/DD2.0/Contacts/Birthdate/
Contacts,BusinessFax,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,https://dd.reso.org/DD2.0/Contacts/BusinessFax/
Contacts,Children,A list of the names of the contact's children in a comma-separated list.,https://dd.reso.org/DD2.0/Contacts/Children/
Contacts,Company,The contact's company or employer.,https://dd.reso.org/DD2.0/Contacts/Company/
Contacts,ContactKey,"A system unique identifier. Specifically, in aggregation systems, the ContactKey is the system unique identifier from the system that the record was retrieved. This may be identical to the related xxxId.",https://dd.reso.org/DD2.0/Contacts/ContactKey/
Contacts,ContactLoginId,"The local, well-known identifier for the contact. This value may not be unique, specifically in the case of aggregation systems. This value should be the identifier from the original system and is used by the contact to log on to a client portal in that system.",https://dd.reso.org/DD2.0/Contacts/ContactLoginId/
Contacts,ContactPassword,A client password that the member wishes to share with other systems. Normal security considerations apply and are the responsibility of the entity utilizing this field.,https://dd.reso.org/DD2.0/Contacts/ContactPassword/
Contacts,ContactStatus,"The status of the contact (i.e., Active, Inactive, On Vacation, Deleted, etc.).",https://dd.reso.org/DD2.0/Contacts/ContactStatus/
Contacts,ContactType,"The type of contact (i.e., Business, Friend, Family, Prospect, Ready to Buy, etc.).",https://dd.reso.org/DD2.0/Contacts/ContactType/
Contacts,ContactsOtherPhone,A collection of the types of other phone fields available for Contacts. The collection includes the type of system and other details pertinent about other phone numbers,https://dd.reso.org/DD2.0/Contacts/ContactsOtherPhone/
Contacts,ContactsSocialMedia,A collection of the types of social media fields available for Contacts. The collection includes the type of system and other details relating to social media.,https://dd.reso.org/DD2.0/Contacts/ContactsSocialMedia/
Contacts,Department,The department in which the contact works.,https://dd.reso.org/DD2.0/Contacts/Department/
Contacts,DirectPhone,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,https://dd.reso.org/DD2.0/Contacts/DirectPhone/
Contacts,Email,The preferred email address of the contact.,https://dd.reso.org/DD2.0/Contacts/Email/
Contacts,Email2,The secondary email address of the contact.,https://dd.reso.org/DD2.0/Contacts/Email2/
Contacts,Email3,The tertiary email address of the contact.,https://dd.reso.org/DD2.0/Contacts/Email3/
Contacts,FirstName,The first name of the contact.,https://dd.reso.org/DD2.0/Contacts/FirstName/
Contacts,FullName,"The first, middle and last name of the contact or an alternate full name.",https://dd.reso.org/DD2.0/Contacts/FullName/
Contacts,HistoryTransactional,The history of the contact's record.,https://dd.reso.org/DD2.0/Contacts/HistoryTransactional/
Contacts,HomeAddress1,"The street number, direction, name and suffix of the contact's home.",https://dd.reso.org/DD2.0/Contacts/HomeAddress1/
Contacts,HomeAddress2,The unit/suite number of the contact's home.,https://dd.reso.org/DD2.0/Contacts/HomeAddress2/
Contacts,HomeCarrierRoute,"The group of addresses to which the U.S. Postal Service (USPS) assigns the same code to aid in mail delivery. For the USPS, these codes are nine digits: five numbers for the ZIP Code, one letter for the carrier route type, and 3 numbers for the carrier route number.",https://dd.reso.org/DD2.0/Contacts/HomeCarrierRoute/
Contacts,HomeCity,The city of the contact's home.,https://dd.reso.org/DD2.0/Contacts/HomeCity/
Contacts,HomeCountry,The country abbreviation in a postal address.,https://dd.reso.org/DD2.0/Contacts/HomeCountry/
Contacts,HomeCountyOrParish,The county or parish in which the contact's home is addressed.,https://dd.reso.org/DD2.0/Contacts/HomeCountyOrParish/
Contacts,HomeFax,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,https://dd.reso.org/DD2.0/Contacts/HomeFax/
Contacts,HomePhone,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,https://dd.reso.org/DD2.0/Contacts/HomePhone/
Contacts,HomePostalCode,The postal code of the contact's home.,https://dd.reso.org/DD2.0/Contacts/HomePostalCode/
Contacts,HomePostalCodePlus4,The four-digit extension of the U.S. Zip Code.,https://dd.reso.org/DD2.0/Contacts/HomePostalCodePlus4/
Contacts,HomeStateOrProvince,The state or province in which the contact's home is addressed.,https://dd.reso.org/DD2.0/Contacts/HomeStateOrProvince/
Contacts,JobTitle,The title or position of the contact within their organization.,https://dd.reso.org/DD2.0/Contacts/JobTitle/
Contacts,Language,The languages spoken by the contact.,https://dd.reso.org/DD2.0/Contacts/Language/
Contacts,LastName,The last name of the contact.,https://dd.reso.org/DD2.0/Contacts/LastName/
Contacts,LeadSource,The source or person that provided the contact.,https://dd.reso.org/DD2.0/Contacts/LeadSource/
Contacts,Media,The media for the contact's record.,https://dd.reso.org/DD2.0/Contacts/Media/
Contacts,MiddleName,The middle name of the contact.,https://dd.reso.org/DD2.0/Contacts/MiddleName/
