Resource,Field,StandardName,DisplayName,Group,DataType,MaxLength,MaxPrecision,Synonyms,FieldStatus,BEDES,Lookup,LookupStatus,PropertyTypes,Payloads,SpanishName,FrenchCanadianName,StatusChangeDate,RevisionDate,AddedInVersion,SourceResource,OrgPct,OrgAdopted,OrgTotal,SourceUrl,FetchedAt
Caravan,CaravanOrganizerName,CaravanOrganizerName,Caravan Organizer Name,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerName/,2026-05-04T15:53:42Z
Caravan,CaravanOrganizerResourceName,CaravanOrganizerResourceName,Caravan Organizer Resource Name,,"String List, Single",255,,,Active,,CaravanResourceName,Open with Enumerations,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerResourceName/,2026-05-04T15:53:42Z
Caravan,CaravanPolicyUrl,CaravanPolicyUrl,Caravan Policy URL,,String,8000,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanPolicyUrl/,2026-05-04T15:53:42Z
Caravan,CaravanRemarks,CaravanRemarks,Caravan Remarks,,String,500,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanRemarks/,2026-05-04T15:53:42Z
Caravan,CaravanStartLocation,CaravanStartLocation,Caravan Start Location,,String,50,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanStartLocation/,2026-05-04T15:53:42Z
Caravan,CaravanStartLocationGiveaways,CaravanStartLocationGiveaways,Caravan Start Location Giveaways,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanStartLocationGiveaways/,2026-05-04T15:53:42Z
Caravan,CaravanStartLocationRefreshments,CaravanStartLocationRefreshments,Caravan Start Location Refreshments,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanStartLocationRefreshments/,2026-05-04T15:53:42Z
Caravan,CaravanStartTime,CaravanStartTime,Caravan Start Time,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanStartTime/,2026-05-04T15:53:42Z
Caravan,CaravanStatus,CaravanStatus,Caravan Status,,"String List, Single",25,,,Active,,CaravanStatus,Open with Enumerations,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanStatus/,2026-05-04T15:53:42Z
Caravan,CaravanType,CaravanType,Caravan Type,,"String List, Single",25,,,Active,,CaravanType,Open with Enumerations,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/CaravanType/,2026-05-04T15:53:42Z
Caravan,ModificationTimestamp,ModificationTimestamp,Modification Timestamp,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/ModificationTimestamp/,2026-05-04T15:53:42Z
Caravan,OriginalEntryTimestamp,OriginalEntryTimestamp,Original Entry Timestamp,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/OriginalEntryTimestamp/,2026-05-04T15:53:42Z
Caravan,OriginatingSystemId,OriginatingSystemId,Originating System ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/OriginatingSystemId/,2026-05-04T15:53:42Z
Caravan,OriginatingSystemKey,OriginatingSystemKey,Originating System Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/OriginatingSystemKey/,2026-05-04T15:53:42Z
Caravan,OriginatingSystemName,OriginatingSystemName,Originating System Name,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/OriginatingSystemName/,2026-05-04T15:53:42Z
Caravan,SourceSystemId,SourceSystemId,Source System ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/SourceSystemId/,2026-05-04T15:53:42Z
Caravan,SourceSystemKey,SourceSystemKey,Source System Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/SourceSystemKey/,2026-05-04T15:53:42Z
Caravan,SourceSystemName,SourceSystemName,Source System Name,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/Caravan/SourceSystemName/,2026-05-04T15:53:42Z
CaravanStop,CaravanKey,CaravanKey,Caravan Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/CaravanKey/,2026-05-04T15:53:42Z
CaravanStop,CaravanStopKey,CaravanStopKey,Caravan Stop Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/CaravanStopKey/,2026-05-04T15:53:42Z
CaravanStop,ModificationTimestamp,ModificationTimestamp,Modification Timestamp,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/ModificationTimestamp/,2026-05-04T15:53:42Z
CaravanStop,OriginalEntryTimestamp,OriginalEntryTimestamp,Original Entry Timestamp,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/OriginalEntryTimestamp/,2026-05-04T15:53:42Z
CaravanStop,OriginatingSystemId,OriginatingSystemId,Originating System ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/OriginatingSystemId/,2026-05-04T15:53:43Z
CaravanStop,OriginatingSystemKey,OriginatingSystemKey,Originating System Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/OriginatingSystemKey/,2026-05-04T15:53:43Z
CaravanStop,OriginatingSystemName,OriginatingSystemName,Originating System Name,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/OriginatingSystemName/,2026-05-04T15:53:43Z
CaravanStop,SourceSystemId,SourceSystemId,Source System ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/SourceSystemId/,2026-05-04T15:53:43Z
CaravanStop,SourceSystemKey,SourceSystemKey,Source System Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/SourceSystemKey/,2026-05-04T15:53:43Z
CaravanStop,SourceSystemName,SourceSystemName,Source System Name,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/SourceSystemName/,2026-05-04T15:53:43Z
CaravanStop,StopAttendedBy,StopAttendedBy,Stop Attended By,,"String List, Single",25,,,Active,,CaravanStopAttended,Open with Enumerations,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopAttendedBy/,2026-05-04T15:53:43Z
CaravanStop,StopClassName,StopClassName,Stop Class Name,,"String List, Single",50,,,Active,,CaravanStopClassName,Open with Enumerations,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopClassName/,2026-05-04T15:53:43Z
CaravanStop,StopDate,StopDate,Stop Date,,Date,10,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopDate/,2026-05-04T15:53:43Z
CaravanStop,StopEndTime,StopEndTime,Stop End Time,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopEndTime/,2026-05-04T15:53:43Z
CaravanStop,StopId,StopId,Stop ID,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopId/,2026-05-04T15:53:43Z
CaravanStop,StopKey,StopKey,Stop Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopKey/,2026-05-04T15:53:43Z
CaravanStop,StopOrder,StopOrder,Stop Order,,Number,2,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopOrder/,2026-05-04T15:53:43Z
CaravanStop,StopRefreshments,StopRefreshments,Stop Refreshments,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopRefreshments/,2026-05-04T15:53:43Z
CaravanStop,StopRemarks,StopRemarks,Stop Remarks,,String,500,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopRemarks/,2026-05-04T15:53:43Z
CaravanStop,StopResourceName,StopResourceName,Stop Resource Name,,"String List, Single",50,,,Active,,CaravanResourceName,Open with Enumerations,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopResourceName/,2026-05-04T15:53:43Z
CaravanStop,StopShowingAgentFirstName,StopShowingAgentFirstName,Stop Showing Agent First Name,,String,50,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopShowingAgentFirstName/,2026-05-04T15:53:43Z
CaravanStop,StopShowingAgentKey,StopShowingAgentKey,Stop Showing Agent Key,,String,255,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopShowingAgentKey/,2026-05-04T15:53:43Z
CaravanStop,StopShowingAgentLastName,StopShowingAgentLastName,Stop Showing Agent Last Name,,String,50,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopShowingAgentLastName/,2026-05-04T15:53:43Z
CaravanStop,StopShowingAgentMlsId,StopShowingAgentMlsId,Stop Showing Agent MLS ID,,String,25,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopShowingAgentMlsId/,2026-05-04T15:53:43Z
CaravanStop,StopStartTime,StopStartTime,Stop Start Time,,Timestamp,27,,,Active,,,,,,,,2/3/2021,2/3/2021,2.0.0,,,,,https://dd.reso.org/DD2.0/CaravanStop/StopStartTime/,2026-05-04T15:53:43Z
