host_resource,host_field,candidate_satellite,target_resource,target_field,jaccard,host_token_count,target_token_count,shared_token_count,host_def_first120,target_def_first120
Property,CoListAgentKey,CoListAgentPreferredPhone,Member,MemberPreferredPhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoListAgentKey,CoListAgentPreferredPhoneExt,Member,MemberPreferredPhoneExt,1.000,5,5,5,"The extension of the given phone number, if applicable.","The extension of the given phone number, if applicable."
Property,CoListAgentKey,CoListAgentStateLicense,Member,MemberStateLicense,1.000,6,6,6,The license of the co-listing agent. Multiple licenses should be separated with a comma and space.,The license of the member. Multiple licenses should be separated by a comma and space.
Property,CoListAgentKey,CoListAgentTollFreePhone,Member,MemberTollFreePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoListAgentKey,CoListAgentVoiceMail,Member,MemberVoiceMail,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoListAgentKey,CoListAgentVoiceMailExt,Member,MemberVoiceMailExt,1.000,5,5,5,"The extension of the given phone number, if applicable.","The extension of the given phone number, if applicable."
Property,CoListOfficeKey,CoListOfficeAOR,Office,OfficeAOR,1.000,3,3,3,The co-listing office's board or association of REALTORS®.,The office's board or association of REALTORS®.
Property,CoListOfficeKey,CoListOfficeEmail,Office,OfficeEmail,1.000,2,2,2,The email address of the co-listing office.,The email address of the office
Property,CoListOfficeKey,CoListOfficeFax,Office,OfficeFax,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoListOfficeKey,CoListOfficeMlsId,Office,OfficeMlsId,1.000,12,12,12,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it ","The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it "
