LookupName,ValueCount,UsedByCount,UsedByJson,FetchedAt,Source,SourceUrl
GreenSustainability,7,1,"[{""Resource"":""Property"",""Field"":""GreenSustainability"",""DisplayName"":""Green Sustainability"",""Usage"":""13%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/GreenSustainability/
GreenVerificationSource,10,1,"[{""Resource"":""PropertyGreenVerification"",""Field"":""GreenVerificationSource"",""DisplayName"":""Green Verification Source"",""Usage"":""1%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/GreenVerificationSource/
GreenVerificationStatus,2,1,"[{""Resource"":""PropertyGreenVerification"",""Field"":""GreenVerificationStatus"",""DisplayName"":""Green Verification Status"",""Usage"":""1%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/GreenVerificationStatus/
GreenWaterConservation,6,1,"[{""Resource"":""Property"",""Field"":""GreenWaterConservation"",""DisplayName"":""Green Water Conservation"",""Usage"":""28%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/GreenWaterConservation/
Heating,42,1,"[{""Resource"":""Property"",""Field"":""Heating"",""DisplayName"":""Heating"",""Usage"":""90%""}]",2026-05-04T15:52:55Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Heating/
HorseAmenities,18,1,"[{""Resource"":""Property"",""Field"":""HorseAmenities"",""DisplayName"":""Horse Amenities"",""Usage"":""40%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/HorseAmenities/
HoursDaysOfOperation,9,1,"[{""Resource"":""Property"",""Field"":""HoursDaysOfOperation"",""DisplayName"":""Hours/Days Of Operation"",""Usage"":""6%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/HoursDaysOfOperation/
IanaTimeZoneValues,482,3,"[{""Resource"":""Property"",""Field"":""PropertyTimeZoneName"",""DisplayName"":""Property Time Zone Name"",""Usage"":""1%""},{""Resource"":""LockOrBox"",""Field"":""ListingTimeZone"",""DisplayName"":""Listing Time Zone"",""Usage"":""—""},{""Resource"":""Showing"",""Field"":""ShowingTimeZone"",""DisplayName"":""Showing Time Zone"",""Usage"":""—""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/IanaTimeZoneValues/
ImageOf,86,1,"[{""Resource"":""Media"",""Field"":""ImageOf"",""DisplayName"":""Image Of"",""Usage"":""13%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ImageOf/
IncomeIncludes,6,1,"[{""Resource"":""Property"",""Field"":""IncomeIncludes"",""DisplayName"":""Income Includes"",""Usage"":""9%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/IncomeIncludes/
