host_resource,host_field,fk_stem,candidate_satellite,candidate_simple_type,target_resource,target_field,name_match_score,name_match_kind,jaccard,type_match,lookup_match,signals_fired,recommendation,notes
Property,CoListAgentKey,CoListAgent,CoListAgentFax,String,Member,MemberFax,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentFirstName,String,Member,MemberFirstName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentFullName,String,Member,MemberFullName,1.00,target_prefix,0.667,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentHomePhone,String,Member,MemberHomePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentLastName,String,Member,MemberLastName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentMiddleName,String,Member,MemberMiddleName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentMlsId,String,Member,MemberMlsId,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,id_suffix_threshold_0.7
Property,CoListAgentKey,CoListAgent,CoListAgentMobilePhone,String,Member,MemberMobilePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentNamePrefix,String,Member,MemberNamePrefix,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentNameSuffix,String,Member,MemberNameSuffix,1.00,target_prefix,0.714,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentOfficePhone,String,Member,MemberOfficePhone,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentOfficePhoneExt,String,Member,MemberOfficePhoneExt,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
Property,CoListAgentKey,CoListAgent,CoListAgentPager,String,Member,MemberPager,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
