host_resource,host_field,host_field_type,target_resource,target_field,fk_kind,confidence,evidence,notes
InternetTracking,ActorSourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
InternetTracking,EventOriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
InternetTracking,EventSourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
InternetTracking,ObjectOriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
InternetTracking,ObjectSourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
LockOrBox,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
LockOrBox,OriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
LockOrBox,ShowingAgent,Resource,Member,MemberKey,resource_typed,medium,type:resource_typed:SourceResource=Member,
LockOrBox,ShowingOffice,Resource,Office,OfficeKey,resource_typed,medium,type:resource_typed:SourceResource=Office,
LockOrBox,ShowingOfficeId,String,Office,OfficeKey,name_shape,low,name:tail_stem:ShowingOffice->Office,
LockOrBox,SourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Media,ChangedByMember,Resource,Member,MemberKey,resource_typed,medium,type:resource_typed:SourceResource=Member,
Media,ChangedByMemberID,String,Member,MemberKey,name_shape,low,name:tail_stem:ChangedByMember->Member,
Media,ChangedByMemberKey,String,Member,MemberKey,prose,high,"prose:P1:""foreign key relating to the Member Resource's MemberKey"" | name:tail_stem:ChangedByMember->Member",
Media,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
Media,OriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Media,ResourceRecordKey,String,,,prose,medium,"prose:P5:""foreign key from the resource selected in the ResourceName field""",polymorphic
Media,SourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Media,SourceSystemID,String,OUID,OrganizationUniqueId,prose,medium,"prose:P6:""OUID Resource's OrganizationUniqueId""",
Member,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
Member,Media,Collection,Media,MediaKey,collection_typed,medium,type:collection_typed:SourceResource=Media,inverse_one_to_many
Member,MemberNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:MemberNationalAssociation->Association,
Member,MemberOtherPhone,Collection,OtherPhone,OtherPhoneKey,collection_typed,medium,type:collection_typed:SourceResource=OtherPhone,inverse_one_to_many
Member,MemberSocialMedia,Collection,SocialMedia,SocialMediaKey,collection_typed,medium,type:collection_typed:SourceResource=SocialMedia,inverse_one_to_many
Member,Office,Resource,Office,OfficeKey,resource_typed,medium,type:resource_typed:SourceResource=Office,
Member,OfficeKey,String,Office,OfficeKey,prose,high,"prose:P1:""foreign key relating to the Office Resource's OfficeKey"" | name:exact_stem:Office->Office",
Member,OfficeNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:OfficeNationalAssociation->Association,
Member,OriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Member,OriginatingSystemID,String,OUID,OrganizationUniqueId,prose,medium,"prose:P6:""OUID Resource's OrganizationUniqueId""",
Member,SourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Member,SourceSystemID,String,OUID,OrganizationUniqueId,prose,medium,"prose:P6:""OUID Resource's OrganizationUniqueId""",
MemberAssociation,Association,Resource,Association,AssociationKey,resource_typed,medium,type:resource_typed:SourceResource=Association,
MemberAssociation,AssociationKey,String,Association,AssociationKey,name_shape,low,name:exact_stem:Association->Association,
MemberAssociation,AssociationNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:AssociationNationalAssociation->Association,
